DATE;IBOV;DY_IBOV;SELIC
42571;56578,05;3.24;14.15
42572;56641,49;#VALUE!;14.15
42573;57002,08;3.23;14.15
42576;56872,73;3.22;14.15
42577;56782,75;3.22;14.15
42578;56852,84;3.21;14.15
42579;56667,12;3.23;14.15
42580;57308,21;3.19;14.15
42583;56755,76;3.08;14.15
42584;56162,38;3.08;14.15
42585;57076,91;3.03;14.15
42586;57593,89;3.01;14.15
42587;57661,14;3.00;14.15
42590;57635,43;3.01;14.15
42591;57689,41;3.01;14.15
42592;56919,78;3.05;14.15
42593;58299,57;2.98;14.15
42594;58298,41;2.95;14.15
42597;59145,98;2.93;14.15
42598;58855,43;2.94;14.15
42599;59323,83;2.93;14.15
42600;59166,02;2.94;14.15
42601;59098,92;2.94;14.15
42604;57781,24;0.30;14.15
42605;58020,04;3.00;14.15
42606;57717,88;3.02;14.15
42607;57722,14;3.02;14.15
42608;57716,25;3.01;14.15
42611;58610,39;2.97;14.15
42612;58575,42;2.97;14.15
42613;57901,11;3.01;14.15
42614;58236,27;3.00;14.15
42615;59616,4;2.93;14.15
42618;59566,34;2.94;14.15
42619;60129,44;2.89;14.15
42621;60231,66;2.88;14.15
42622;57999,73;0.30;14.15
42625;58586,11;2.93;14.15
42626;56820,77;3.02;14.15
42627;57059,46;3.01;14.15
42628;57909,49;2.91;14.15
42629;57079,76;2.96;14.15
42632;57350,38;2.95;14.15
42633;57736,46;2.93;14.15
42634;58393,92;2.90;14.15
42635;58994,17;2.87;14.15
42636;58697;2.89;14.15
42639;58053,53;2.92;14.15
42640;58382,49;2.89;14.15
42641;59355,77;2.84;14.15
42642;58350,57;2.89;14.15
42643;58367,05;2.88;14.15
42646;59461,23;2.83;14.15
42647;59339,23;0.28;14.15
42648;60254,34;0.28;14.15
42649;60644,24;2.79;14.15
42650;61108,98;2.77;14.15
42653;61668,33;2.74;14.15
42654;61021,85;2.77;14.15
42656;61118,58;2.81;14.15
42657;61767,22;2.76;14.15
42660;62696,11;2.78;14.15
42661;63782,21;2.74;14.15
42662;63505,61;2.75;14.15
42663;63837,85;0.27;13.9
42664;64108,08;2.72;13.9
42667;64059,89;2.66;13.9
42668;63866,2;2.67;13.9
42669;63825,69;2.68;13.9
42670;64249,5;2.67;13.9
42671;64307,63;2.66;13.9
42674;64924,52;2.65;13.9
42675;63326,42;2.72;13.9
42677;61750,17;2.75;13.9
42678;61598,39;2.77;13.9
42681;64051,65;2.67;13.9
42682;64157,68;0.26;13.9
42683;63258,27;2.67;13.9
42684;61200,96;0.28;13.9
42685;59183,51;2.86;13.9
42688;59657,46;2.75;13.9
42690;60759,32;2.70;13.9
42691;59770,47;2.74;13.9
42692;59961,76;2.71;13.9
42695;61070,27;2.68;13.9
42696;61954,47;2.67;13.9
42697;61985,91;2.65;13.9
42698;61395,53;0.27;13.9
42699;61559,08;2.68;13.9
42702;62855,5;2.60;13.9
42703;60986,52;2.69;13.9
42704;61906,36;2.65;13.9
42705;59506,54;2.75;13.65
42706;60316,13;2.71;13.65
42709;59831,73;2.72;13.65
42710;61088,25;2.67;13.65
42711;61414,4;2.66;13.65
42712;60676,57;2.69;13.65
42713;60500,62;2.70;13.65
42716;59178,62;2.76;13.65
42717;59280,57;2.74;13.65
42718;58212,12;2.80;13.65
42719;58396,16;2.79;13.65
42720;58389,04;2.80;13.65
42723;57111;2.89;13.65
42724;57582,89;2.85;13.65
42725;57646,52;2.85;13.65
42726;57255,22;2.87;13.65
42727;57937,11;2.84;13.65
42730;58620,26;2.79;13.65
42731;58696,69;2.79;13.65
42732;59781,63;2.74;13.65
42733;60227,28;2.72;13.65
42737;59588,7;2.76;13.65
42738;61813,83;2.68;13.65
42739;61589,06;2.69;13.65
42740;62070,98;2.67;13.65
42741;61665,37;2.69;13.65
42744;61700,29;2.69;13.65
42745;62131,8;2.67;13.65
42746;62446,26;2.65;13.65
42747;63953,93;2.58;12.9
42748;63651,52;2.60;12.9
42751;63831,28;2.59;12.9
42752;64354,34;2.50;12.9
42753;64149,57;2.51;12.9
42754;63950,86;2.53;12.9
42755;64521,18;2.51;12.9
42758;65748,63;2.46;12.9
42759;65840,09;2.46;12.9
42761;66190,63;2.45;12.9
42762;66033,98;2.46;12.9
42765;64301,73;2.53;12.9
42766;64670,78;2.51;12.9
42767;64836,13;2.51;12.9
42768;64578,21;0.25;12.9
42769;64953,93;0.25;12.9
42772;63992,93;2.58;12.9
42773;64198,9;2.69;12.9
42774;64835,4;2.66;12.9
42775;64964,89;2.66;12.9
42776;66124,52;0.26;12.9
42779;66967,64;2.57;12.9
42780;66712,88;2.64;12.9
42781;67975,58;2.59;12.9
42782;67814,24;0.26;12.9
42783;67748,42;2.49;12.9
42786;68532,86;2.45;12.9
42787;69052,02;2.44;12.9
42788;68589,55;2.47;12.9
42789;67461,39;2.53;12.15
42790;66662,1;2.51;12.15
42795;66988,88;2.48;12.15
42796;65854,93;2.40;12.15
42797;66785,53;2.36;12.15
42800;66341,37;3.65;12.15
42801;65742,33;3.70;12.15
42802;64718,02;3.75;12.15
42803;64585,23;0.38;12.15
42804;64675,46;3.77;12.15
42807;65534,3;3.70;12.15
42808;64699,46;3.75;12.15
42809;66234,88;3.66;12.15
42810;65782,85;3.70;12.15
42811;64209,94;3.79;12.15
42814;64884,27;3.77;12.15
42815;62980,37;3.87;12.15
42816;63521,34;3.82;12.15
42817;63530,79;3.91;12.15
42818;63853,77;3.88;12.15
42821;64308,39;3.84;12.15
42822;64640,45;3.82;12.15
42823;65528,29;3.76;12.15
42824;65265,98;3.73;12.15
42825;64984,07;3.77;12.15
42828;65211,48;3.72;12.15
42829;65768,91;#VALUE!;12.15
42830;64774,77;3.75;12.15
42831;64222,72;3.78;12.15
42832;64593,11;3.76;12.15
42835;64649,82;3.75;12.15
42836;64359,79;3.77;12.15
42837;63891,68;3.79;12.15
42838;62826,28;3.86;11.15
42842;64334,93;3.77;11.15
42843;64158,84;3.78;11.15
42844;63406,97;3.83;11.15
42845;63760,62;3.77;11.15
42849;64389,02;3.74;11.15
42850;65148,35;3.70;11.15
42851;64861,92;0.37;11.15
42852;64676,55;3.71;11.15
42853;65403,25;3.71;11.15
42857;66721,75;3.69;11.15
42858;66093,78;3.67;11.15
42859;64862,61;3.72;11.15
42860;65709,73;3.63;11.15
42863;65526,04;3.66;11.15
42864;66277,67;3.62;11.15
42865;67349,73;3.56;11.15
42866;67537,62;3.47;11.15
42867;68221,94;3.38;11.15
42870;68474,19;3.39;11.15
42871;68684,5;3.38;11.15
42872;67540,25;3.44;11.15
42873;61597,05;3.78;11.15
42874;62639,31;3.69;11.15
42877;61673,49;3.71;11.15
42878;62662,48;3.66;11.15
42879;63257,36;0.36;11.15
42880;63226,79;3.60;11.15
42881;64085,41;3.78;11.15
42884;63760,94;0.38;11.15
42885;63962,27;3.78;11.15
42886;62711,47;3.91;11.15
42887;62288,52;4.14;10.15
42888;62510,7;4.12;10.15
42891;62450,45;0.41;10.15
42892;62954,69;4.08;10.15
42893;63170,73;4.06;10.15
42894;62755,57;4.09;10.15
42895;62210,56;0.41;10.15
42898;61700,23;4.13;10.15
42899;61828,99;4.09;10.15
42900;61922,93;4.07;10.15
